name,suburb,category,lng,lat,value,vouchers
Chez Kimchi,City,food & drinks,149.132146,-35.278043,810,32
Civic Asian Noodle House,City,food & drinks,149.128732,-35.2788415,460,25
Civic Shoes,City,retail,149.1309607,-35.2794679,880,20
CoCo Fresh Tea & Juice,City,food & drinks,149.1313113,-35.2789037,760,67
Corner Drinks,City,food & drinks,149.1321174,-35.2815698,40,4
Craft ACT: Craft & Design Centre,City,retail,149.1308614,-35.2805169,720,15
Daily Market City & Gungahlin,City,retail,149.1252642,-35.2766469,67700,1918
Dash Jolimont,City,food & drinks,149.1288859,-35.2776503,110,7
Dendy Cinemas Canberra,City,food & drinks,149.132719,-35.2769416,6560,236
Dobinsons Bakery,City,food & drinks,149.133948,-35.279788,600,48
Dumpling King Canberra City,City,food & drinks,149.1315115,-35.2784178,590,22
Dymocks Canberra,City,retail,149.1332559,-35.2802271,10160,286
East Row Specialty Coffee,City,food & drinks,149.1303094,-35.2794628,700,42
Emart,City,retail,149.1271158,-35.2787029,15500,460
Frawley's,City,retail,149.1323189,-35.2784834,1490,31
Freshii,City,food & drinks,149.1333772,-35.2822087,20,2
Gentle Nails,City,personal care,149.1321813,-35.277888,70,4
Golden Drum,City,food & drinks,149.1244886,-35.2787102,9980,257
Green Bean On Moore,City,food & drinks,149.1279799,-35.2758978,2060,91
Gus' Place,City,food & drinks,149.1319095,-35.2778279,430,27
Guzman Y Gomez Canberra Centre/Belconnen/Gungahlin,City,food & drinks,149.1332611,-35.27844309,3310,212
Happy's Chinese Restaurant,City,food & drinks,149.131573,-35.27814,3750,105
"Hero Sushi Canberra Train, Hero Sushi Constitution Place",City,food & drinks,149.1332559,-35.2802271,1610,87
Higher Function Physio & Pilates,City,personal care,149.1309915,-35.279304,1070,22
Hokka Hokka,City,food & drinks,149.1332387,-35.2802938,130,11
Impact Comics,City,retail,149.1321213,-35.2785474,7520,208
Indian Accent,City,food & drinks,149.127888,-35.2789342,960,33
Izumi,City,food & drinks,149.125981,-35.279338,220,14
J & J Hair,City,retail,149.1269143,-35.2784724,460,17
Just Cuts Canberra Centre,City,personal care,149.1325496,-35.2804061,190,11
